#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2018-12-11 20:47:55 EST     (sdww01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 02322500 SANTA FE RIVER NEAR FORT WHITE, FLA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,2322500,5,2/4/1927,,Yes,PEH,USGS,1.12,1210,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1210,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,6,7/26/1927,,Yes,PEH,USGS,1.95,1760,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1760,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,7,10/6/1927,,Yes,PEH,USGS,1.1,1180,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1180,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,8,12/21/1927,,Yes,PEH,USGS,0.82,1020,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1020,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,9,2/11/1928,,Yes,WAH,USGS,0.07,900,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,900,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,10,2/15/1928,,Yes,PEH,USGS,0.71,940,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,940,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,11,3/22/1928,,Yes,PEH,USGS,0.84,1000,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1000,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,12,3/28/1928,,Yes,PEH,USGS,0.88,1000,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1000,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,13,4/2/1928,,Yes,PEH,USGS,0.99,1040,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1040,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,14,5/3/1928,,Yes,PRS,USGS,5.86,3850,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,3850,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,15,5/27/1928,,Yes,PEH,USGS,,1940,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1940,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,16,8/2/1928,,Yes,PEH,USGS,2.02,2000,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,2000,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,17,8/8/1928,,Yes,PEH,USGS,2.38,2380,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,2380,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,18,8/13/1928,,Yes,PEH,USGS,4.46,3460,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,3460,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,19,8/15/1928,,Yes,PEH,USGS,5.45,3790,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,3790,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,20,11/15/1928,,Yes,WRK,USGS,2.31,2070,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,2070,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,21,1/31/1929,,Yes,PRS,USGS,2.12,2030,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,2030,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,22,5/30/1929,,Yes,MCG,USGS,1.4,1420,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1420,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,23,9/21/1929,,Yes,EAT,USGS,2.9,2590,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,2590,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,24,9/29/1929,,Yes,EAT,USGS,4.33,3450,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,3450,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,26,3/15/1932,,Yes,MAN,USGS,0.76,784,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,784,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,27,6/3/1932,,Yes,DSW,USGS,0.66,698,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,698,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,33,10/14/1932,,Yes,ALX,USGS,1.02,1050,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1050,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,34,12/17/1932,,Yes,MAN,USGS,0.8,910,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,910,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,35,1/3/1933,,Yes,MAN,USGS,0.73,849,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,849,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,36,2/17/1933,,Yes,ALX,USGS,1.21,1080,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1080,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,37,3/8/1933,,Yes,ALX,USGS,1.35,917,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,917,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,38,3/31/1933,,Yes,MAN,USGS,1.67,1400,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1400,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,39,4/11/1933,,Yes,MAN,USGS,3.01,2210,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,2210,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,40,4/13/1933,,Yes,ALX,USGS,3.63,2660,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,2660,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,41,4/18/1933,,Yes,MAN,USGS,4.12,2700,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,2700,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,42,5/1/1933,,Yes,MAN,USGS,2.26,1760,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1760,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,43,6/9/1933,,Yes,MAN,USGS,1.08,1110,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1110,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,44,7/19/1933,,Yes,ALX,USGS,0.99,951,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,951,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,45,8/4/1933,,Yes,MAN,USGS,1.19,1090,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1090,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,46,9/26/1933,,Yes,ALX,USGS,1.74,1660,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1660,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,47,10/12/1933,,Yes,AAB,USGS,1.25,1270,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1270,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,48,11/18/1933,,Yes,ALX,USGS,0.96,1060,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1060,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,49,12/11/1933,,Yes,ALX,USGS,0.88,991,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,991,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,50,1/19/1934,,Yes,ALX,USGS,0.8,905,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,905,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,51,2/17/1934,,Yes,ALX,USGS,0.77,878,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,878,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,52,3/21/1934,,Yes,ALX,USGS,0.77,880,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,880,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,53,4/18/1934,,Yes,MAN,USGS,0.79,809,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,809,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,54,5/17/1934,,Yes,MAN,USGS,0.78,823,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,823,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,55,6/11/1934,,Yes,MAN,USGS,1.35,1240,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1240,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,56,6/19/1934,,Yes,MAN,USGS,10.86,11200,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,11200,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,142,6/7/1941,,Yes,JWP,USGS,0.88,908,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,908,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,143,7/8/1941,,Yes,JAM,USGS,2.31,2030,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,2030,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,144,8/13/1941,,Yes,JAM,USGS,1.76,1770,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1770,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,145,9/4/1941,,Yes,JAM,USGS,1.42,1540,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1540,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,146,10/7/1941,,Yes,JAM,USGS,1.2,1300,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1300,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,147,10/23/1941,,Yes,JAM,USGS,4.09,3420,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,3420,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,148,10/24/1941,,Yes,JAM,USGS,7.11,6080,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,6080,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,151,10/26/1941,,Yes,JAM,USGS,8.08,7310,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,7310,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,152,10/29/1941,,Yes,ELH,USGS,6.16,5340,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,5340,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,153,11/3/1941,,Yes,ELH,USGS,4.7,4080,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,4080,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,154,11/18/1941,,Yes,JAM,USGS,3.68,3250,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,3250,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,155,12/13/1941,,Yes,JAM,USGS,2.82,2520,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,2520,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,156,1/17/1942,,Yes,JAM,USGS,4.39,3320,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,3320,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,157,2/17/1942,,Yes,JAM,USGS,2.26,2120,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,2120,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,158,3/24/1942,,Yes,JAM,USGS,6.54,4510,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,4510,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,159,3/25/1942,,Yes,JAM,USGS,6.45,4330,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,4330,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,160,3/28/1942,,Yes,JAM,USGS,6.16,3940,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,3940,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,161,4/8/1942,,Yes,JAM,USGS,4.75,3240,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,3240,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,162,4/28/1942,,Yes,JAM,USGS,2.37,2200,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,2200,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,163,6/2/1942,,Yes,JAM,USGS,1.67,1730,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1730,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,164,7/13/1942,,Yes,JAM,USGS,1.74,1820,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1820,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,165,8/17/1942,,Yes,JAM,USGS,1.71,1720,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1720,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,166,9/28/1942,,Yes,JAM,USGS,1.62,1630,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1630,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,167,11/2/1942,,Yes,JAM,USGS,1.29,1400,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1400,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,168,12/2/1942,,Yes,JAM,USGS,1.16,1270,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1270,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,169,1/11/1943,,Yes,JAM,USGS,1.03,1140,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1140,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,170,2/18/1943,,Yes,MSG,USGS,0.95,1070,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1070,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,171,3/22/1943,,Yes,MSG,USGS,0.94,1040,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1040,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,172,5/5/1943,,Yes,MSG,USGS,0.83,922,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,922,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,173,6/14/1943,,Yes,MSG,USGS,0.84,940,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,940,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,174,7/20/1943,,Yes,RLT,USGS,0.9,934,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,934,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,175,8/23/1943,,Yes,JAM,USGS,1.94,1800,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1800,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,176,10/4/1943,,Yes,JAM,USGS,0.95,1000,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1000,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,177,11/16/1943,,Yes,JAM,USGS,0.76,890,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,890,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,178,12/16/1943,,Yes,JAM,USGS,0.69,841,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,841,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,179,2/10/1944,,Yes,JAM,USGS,0.68,808,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,808,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,180,3/28/1944 11:00,EDT,Yes,JAM,USGS,1.3,1190,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1190,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,181,3/28/1944 12:00,EDT,Yes,JAM,USGS,1.31,1210,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1210,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,183,7/5/1944,,Yes,JAM,USGS,0.84,938,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,938,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,184,8/16/1944,,Yes,JAM,USGS,3.94,3050,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,3050,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,185,10/4/1944,,Yes,JCB,USGS,1.48,1490,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1490,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,186,11/16/1944,,Yes,JCB,USGS,2.35,2010,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,2010,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,187,12/20/1944,,Yes,JCB,USGS,1.32,1420,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1420,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,188,2/7/1945,,Yes,JCB,USGS,1.63,1620,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1620,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,189,3/21/1945,,Yes,JCB,USGS,1.14,1230,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1230,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,190,5/2/1945,,Yes,JCB,USGS,0.97,1060,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1060,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,191,6/13/1945,,Yes,JCB,USGS,0.85,917,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,917,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,192,7/28/1945,,Yes,KCB,USGS,1.38,1300,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1300,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,193,9/12/1945,,Yes,KCB,USGS,2.74,1940,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1940,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
