e.g. NC_MudCreek,YYYY-MM-DD,Meters upstream of logger array (negative for downstream),Transect latitude in decimal degrees,Transect longitude in decimal degrees,"pool, riffle, or run",The width of the water surface at the time of measurement (meters),"The width of the water surface at baseflow (estimated as the edge of terrestrial vegetation, eroded area, or a break in bank sediment; meters)",The estimated width of the water surface at bankfull (meters),The height of the left bank when facing downstream (meters),The width of the left bank when facing downstream (meters),The height of the right bank when facing downstream (meters),The width of the right bank when facing downstream (meters),The vertical distance from current water level to estimated baseflow (meters),The vertical distance from current water level to estimated bankfull (meters),Any notes about these measurements
siteID,date,transect,latitude,longitude,channel_type,wetted_width_m,baseflow_width_m,bankfull_width_m,left_bank_height_m,left_bank_width_m,right_bank_height_m,right_bank_width_m,water_level_to_baseflow_m,water_level_to_bankfull_m,notes
AZ_MV,2018-06-22,1100,,,pool,20.2,20.2,2.9,0.5,4,1,2,0.2,NA,
AZ_MV,2018-06-22,990,,,riffle,9.7,14.1,35,2,2,1,1,0.1,NA,
AZ_MV,2018-06-22,890,,,run,13.1,16.9,37,1.5,1,2,4,0.5,NA,
AZ_MV,2018-06-22,830,,,run,9.5,10.5,21,1,5,1,1,0.25,NA,
AZ_MV,2018-06-22,670,,,pool,20.6,20.6,27,1,3,4,5,0.75,NA,
AZ_MV,2018-06-22,515,,,pool,29.2,30.5,35.5,1,4,4,6,0.5,NA,
AZ_MV,2018-06-22,375,,,pool,31,34,42,2,5,0.5,6,0,NA,
AZ_MV,2018-06-22,285,,,riffle,8.4,13.4,13.4,0.5,1.5,1.5,3,0.2,NA,
AZ_MV,2018-06-22,240,,,pool,15.4,17.3,22.7,1.5,2,5,3,0.2,NA,
AZ_MV,2018-06-22,115,,,riffle,7.8,10.5,16,2,2,1,3,0.75,NA,
AZ_OC,2018-07-02,294,,,pool,9,10.7,13.6,0.5,2,1.4,1.8,0.5,NA,
AZ_OC,2018-07-02,264,,,riffle,8.7,9.4,13.1,1.2,0.2,0.3,2.2,0,NA,
AZ_OC,2018-07-02,229,,,run,7.4,9,10.4,0.6,0.5,1.7,2,0.05,NA,
AZ_OC,2018-07-02,209,,,pool,10.2,10.5,16.7,0.1,1.9,1,6,2,NA,
AZ_OC,2018-07-02,182,,,riffle,7.7,12.2,32.9,1.9,6.5,1,19.6,0.1,NA,
AZ_OC,2018-07-02,152,,,Run,8.6,9.7,27.3,1.5,11.2,1,4.1,0.2,NA,
AZ_OC,2018-07-02,116,,,Riffle,13,14.5,26.5,2,6.9,1,2,0.15,NA,
AZ_OC,2018-07-02,104,,,Riffle,13,14.5,26.5,3,1.5,2.5,32.2,0.2,NA,
AZ_OC,2018-07-02,41,,,Run,11.7,12.6,36.2,3,1.5,6,22,0.3,NA,
AZ_OC,2018-07-02,14,,,Pool,15.6,16.5,38.5,7,11.5,6,9,2,NA,
AZ_WB,2018-07-09,0,,,pool,7.3,7.3,13.2,1.5,4,1,2,0.4,NA,
AZ_WB,2018-07-09,15,,,Riffle,5.8,8.3,13,1,3,1,5,0.4,NA,
AZ_WB,2018-07-09,30,,,Riffle,4.4,14.4,18.4,4,5,2.5,2,0.5,NA,
AZ_WB,2018-07-09,45,,,Riffle,5.8,10,23,5,10,1.5,8,0.7,NA,
AZ_WB,2018-07-09,60,,,Riffle,6.2,10.2,13,6,6,0.75,3.5,0.2,NA,
AZ_WB,2018-07-09,75,,,Riffle,6,11.5,23,3,7,5,5,0.75,NA,
AZ_WB,2018-07-09,90,,,Riffle,8.8,9.8,22.8,2.5,5,1.5,1,0.2,NA,
AZ_WB,2018-07-09,105,,,Riffle,11.4,14.5,22.5,2.5,4.5,,8,0.9,NA,
AZ_WB,2018-07-09,120,,,Run,5.9,20.9,34.9,4,17,2.5,10,0.75,NA,
AZ_WB,2018-07-09,135,,,Run,3.5,8.5,16.5,1,8,1.5,5,0.9,NA,
AZ_LV,2018-07-11,225,,,Run,24,44,50,1,5,3,1,1,NA,
AZ_LV,2018-07-11,200,,,Run,9.7,30,50,1,2,0.75,0.5,1,NA,
AZ_LV,2018-07-11,175,,,Run,10,12,18,2,4,3,2,1,NA,
AZ_LV,2018-07-11,150,,,Run,8.7,10.2,14.7,0.5,4,1.5,0.5,0.75,NA,
AZ_LV,2018-07-11,125,,,Run,19.4,20.5,25,1,2,1.3,2,1,NA,
AZ_LV,2018-07-11,100,,,Run,12.6,15,21,1,4,0.75,2,0.5,NA,
AZ_LV,2018-07-11,75,,,Run,14.5,15,19,1,3,1.5,0.7,1,NA,
AZ_LV,2018-07-11,50,,,Run,15.6,16.6,20.5,1,1,2,3,1,NA,
AZ_LV,2018-07-11,25,,,Run,15.3,15.5,19,2,2,1.5,1.5,0.5,NA,
AZ_LV,2018-07-11,0,,,Run,15.5,18,26,2,3,7,5,1,NA,
AZ_OC,2018-03-06,0,,,Run,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,15,,,pool,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,30,,,riffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,45,,,riffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,60,,,riffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,75,,,riffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,90,,,riffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,105,,,riffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,120,,,riffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,135,,,riffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,150,,,riffle ,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,150,,,riffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,165,,,riffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,180,,,Run,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,200,,,Run,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,215,,,Run,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_OC,2018-03-06,235,,,riffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AZ_WB,2018-12-18,150,,,Pool,9.05,9.05,NA,NA,NA,NA,NA,NA,NA,
AZ_WB,2018-12-18,120,,,Run,7.3,7.3,NA,NA,NA,NA,NA,NA,NA,
AZ_WB,2018-12-18,90,,,Riffle,4.7,4.7,NA,NA,NA,NA,NA,NA,NA,
AZ_WB,2018-12-18,60,,,Riffle,9.3,9.3,NA,NA,NA,NA,NA,NA,NA,
AZ_WB,2018-12-18,30,,,Riffle,4,4,NA,NA,NA,NA,NA,NA,NA,
AZ_WB,2018-12-18,0,,,Run,10.3,10.3,NA,NA,NA,NA,NA,NA,NA,
AZ_WB,2018-12-18,-20,,,Run,6.6,6.6,NA,NA,NA,NA,NA,NA,NA,
AZ_WB,2019-01-18,0,,,Run,10.25,10.25,25.25,NA,NA,NA,NA,NA,NA,
AZ_WB,2019-01-18,30,,,Run,8,8,23,NA,NA,NA,NA,NA,NA,
AZ_WB,2019-01-18,60,,,Riffle,6,6,17,NA,NA,NA,NA,NA,NA,
AZ_WB,2019-01-18,90,,,Run,9.2,9.2,15.2,NA,NA,NA,NA,NA,NA,
AZ_WB,2019-01-18,120,,,Run,11.5,11.5,22.5,NA,NA,NA,NA,NA,NA,
AZ_WB,2019-01-18,150,,,Run,7.5,7.5,11.5,NA,NA,NA,NA,NA,NA,
AZ_OC,2019-02-11,0,,,Run,10,10,15,NA,NA,NA,NA,NA,NA,
AZ_OC,2019-02-11,20,,,Run,12,12,32,NA,NA,NA,NA,NA,NA,
AZ_OC,2019-02-11,40,,,Run,8.8,8.8,10.8,NA,NA,NA,NA,NA,NA,
AZ_OC,2019-02-11,60,,,Riffle,10.5,10.5,35,NA,NA,NA,NA,NA,NA,
AZ_OC,2019-02-11,80,,,Riffle,14.3,14.3,20,NA,NA,NA,NA,NA,NA,
AZ_OC,2019-02-11,100,,,Riffle,10.5,10.5,25,NA,NA,NA,NA,NA,NA,
AZ_OC,2019-02-11,120,,,Riffle,12,12,27,NA,NA,NA,NA,NA,NA,
AZ_OC,2019-02-11,140,,,Run,11.5,11.5,21.5,NA,NA,NA,NA,NA,NA,
