e.g. NC_MudCreek,YYYY-MM-DD,Meters upstream of logger array (negative for downstream - ideally there should be 100 measurements per transect),Transect latitude in decimal degrees,Transect longitude in decimal degrees,Length of the intermediate axis of a grain (rock fragment of any size) from the bottom of the channel (millimeters),Any notes about these measurements
AZ_OC,2018-07-02,104,,,32,transect_158
AZ_OC,2018-07-02,104,,,90,transect_158
AZ_OC,2018-07-02,104,,,32,transect_158
AZ_OC,2018-07-02,104,,,180,transect_158
AZ_OC,2018-07-02,104,,,64,transect_158
AZ_OC,2018-07-02,104,,,90,transect_158
AZ_OC,2018-07-02,104,,,128,transect_158
AZ_OC,2018-07-02,104,,,22.6,transect_158
AZ_OC,2018-07-02,104,,,128,transect_158
AZ_OC,2018-07-02,104,,,128,transect_158
AZ_OC,2018-07-02,104,,,45,transect_158
AZ_OC,2018-07-02,104,,,128,transect_158
AZ_OC,2018-07-02,104,,,180+,transect_158
AZ_OC,2018-07-02,104,,,180+,transect_158
AZ_OC,2018-07-02,104,,,180+,transect_158
AZ_OC,2018-07-02,104,,,90,transect_158
AZ_OC,2018-07-02,104,,,45,transect_158
AZ_OC,2018-07-02,104,,,90,transect_158
AZ_OC,2018-07-02,104,,,180,transect_158
AZ_OC,2018-07-02,41,,,180+,transect_160
AZ_OC,2018-07-02,41,,,128,transect_160
AZ_OC,2018-07-02,41,,,180+,transect_160
AZ_OC,2018-07-02,41,,,22.6,transect_160
AZ_OC,2018-07-02,41,,,4,transect_160
AZ_OC,2018-07-02,41,,,180+,transect_160
AZ_OC,2018-07-02,41,,,64,transect_160
AZ_OC,2018-07-02,41,,,128,transect_160
AZ_OC,2018-07-02,41,,,64,transect_160
AZ_OC,2018-07-02,41,,,4,transect_160
AZ_OC,2018-07-02,41,,,128,transect_160
AZ_OC,2018-07-02,41,,,180+,transect_160
AZ_OC,2018-07-02,41,,,90,transect_160
AZ_OC,2018-07-02,41,,,90,transect_160
AZ_OC,2018-07-02,41,,,5,transect_160
AZ_OC,2018-07-02,41,,,180+,transect_160
AZ_OC,2018-07-02,41,,,180+,transect_160
AZ_OC,2018-07-02,41,,,180,transect_160
AZ_OC,2018-07-02,41,,,45,transect_160
AZ_OC,2018-07-02,41,,,128,transect_160
AZ_OC,2018-07-02,41,,,180+,transect_160
AZ_OC,2018-07-02,41,,,180+,transect_160
AZ_OC,2018-07-02,41,,,128,transect_160
AZ_OC,2018-07-02,41,,,90,transect_160
AZ_OC,2018-07-02,41,,,180+,transect_160
AZ_OC,2018-07-02,41,,,180+,transect_160
AZ_OC,2018-07-02,41,,,180,transect_160
AZ_OC,2018-07-02,41,,,128,transect_160
AZ_OC,2018-07-02,41,,,128,transect_160
AZ_OC,2018-07-02,41,,,128,transect_160
AZ_OC,2018-07-02,41,,,180+,transect_160
AZ_OC,2018-07-02,41,,,180+,transect_160
AZ_OC,2018-07-02,41,,,90,transect_160
AZ_OC,2018-07-02,41,,,45,transect_160
AZ_OC,2018-07-02,41,,,180,transect_160
AZ_OC,2018-07-02,41,,,90,transect_160
AZ_OC,2018-07-02,41,,,90,transect_160
AZ_OC,2018-07-02,41,,,45,transect_160
AZ_OC,2018-07-02,41,,,16,transect_160
AZ_OC,2018-07-02,41,,,180,transect_160
AZ_OC,2018-07-02,41,,,128,transect_160
AZ_OC,2018-07-02,41,,,128,transect_160
AZ_OC,2018-07-02,41,,,45,transect_160
AZ_OC,2018-07-02,41,,,16,transect_160
AZ_OC,2018-07-02,41,,,128,transect_160
AZ_OC,2018-07-02,41,,,180,transect_160
AZ_OC,2018-07-02,41,,,180,transect_160
AZ_OC,2018-07-02,41,,,32,transect_160
AZ_OC,2018-07-02,41,,,11,transect_160
AZ_OC,2018-07-02,41,,,180,transect_160
AZ_OC,2018-07-02,14,,,Bedrock,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,Bedrock,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,Bedrock,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,Bedrock,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,180+,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,180+,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,180+,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,180+,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,180+,transect_161
AZ_OC,2018-07-02,14,,,180+,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,180+,transect_161
AZ_OC,2018-07-02,14,,,180+,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,180+,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,<2,transect_161
AZ_OC,2018-07-02,14,,,180+,transect_161
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,90,transect_162
AZ_WB,2018-07-09,0,,,64,transect_162
AZ_WB,2018-07-09,0,,,90,transect_162
AZ_WB,2018-07-09,0,,,90,transect_162
AZ_WB,2018-07-09,0,,,180+,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,35,transect_162
AZ_WB,2018-07-09,0,,,128,transect_162
AZ_WB,2018-07-09,0,,,90,transect_162
AZ_WB,2018-07-09,0,,,180+,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,128,transect_162
AZ_WB,2018-07-09,0,,,180+,transect_162
AZ_WB,2018-07-09,0,,,180+,transect_162
AZ_WB,2018-07-09,0,,,64,transect_162
AZ_WB,2018-07-09,0,,,<2,transect_162
AZ_WB,2018-07-09,0,,,90,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,180+,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,<2,transect_162
AZ_WB,2018-07-09,0,,,180+,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,<2,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,<2,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,180+,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,90,transect_162
AZ_WB,2018-07-09,0,,,180+,transect_162
AZ_WB,2018-07-09,0,,,128,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,180+,transect_162
AZ_WB,2018-07-09,0,,,90,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,0,,,64,transect_162
AZ_WB,2018-07-09,0,,,128,transect_162
AZ_WB,2018-07-09,0,,,Bedrock,transect_162
AZ_WB,2018-07-09,15,,,180,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,128,transect_163
AZ_WB,2018-07-09,15,,,16,transect_163
AZ_WB,2018-07-09,15,,,128,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,90,transect_163
AZ_WB,2018-07-09,15,,,4,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,Bedrock,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,2.8,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,90,transect_163
AZ_WB,2018-07-09,15,,,2.8,transect_163
AZ_WB,2018-07-09,15,,,180,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,64,transect_163
AZ_WB,2018-07-09,15,,,4,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,Bedrock,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,8,transect_163
AZ_WB,2018-07-09,15,,,22.6,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,Bedrock,transect_163
AZ_WB,2018-07-09,15,,,90,transect_163
AZ_WB,2018-07-09,15,,,16,transect_163
AZ_WB,2018-07-09,15,,,16,transect_163
AZ_WB,2018-07-09,15,,,Bedrock,transect_163
AZ_WB,2018-07-09,15,,,Bedrock,transect_163
AZ_WB,2018-07-09,15,,,90,transect_163
AZ_WB,2018-07-09,15,,,4,transect_163
AZ_WB,2018-07-09,15,,,180,transect_163
AZ_WB,2018-07-09,15,,,Bedrock,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,90,transect_163
AZ_WB,2018-07-09,15,,,11,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,180+,transect_163
AZ_WB,2018-07-09,15,,,90,transect_163
AZ_WB,2018-07-09,15,,,11,transect_163
AZ_WB,2018-07-09,15,,,22.6,transect_163
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,90,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,22.6,transect_164
AZ_WB,2018-07-09,30,,,16,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,128,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,64,transect_164
AZ_WB,2018-07-09,30,,,16,transect_164
AZ_WB,2018-07-09,30,,,180,transect_164
AZ_WB,2018-07-09,30,,,128,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,64,transect_164
AZ_WB,2018-07-09,30,,,22.6,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,22.6,transect_164
AZ_WB,2018-07-09,30,,,11,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,180,transect_164
AZ_WB,2018-07-09,30,,,45,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,180,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,128,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,64,transect_164
AZ_WB,2018-07-09,30,,,64,transect_164
AZ_WB,2018-07-09,30,,,90,transect_164
AZ_WB,2018-07-09,30,,,180,transect_164
AZ_WB,2018-07-09,30,,,128,transect_164
AZ_WB,2018-07-09,30,,,Bedrock,transect_164
AZ_WB,2018-07-09,30,,,45,transect_164
AZ_WB,2018-07-09,30,,,64,transect_164
AZ_WB,2018-07-09,30,,,8,transect_164
AZ_WB,2018-07-09,30,,,128,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,11,transect_164
AZ_WB,2018-07-09,30,,,16,transect_164
AZ_WB,2018-07-09,30,,,128,transect_164
AZ_WB,2018-07-09,30,,,180+,transect_164
AZ_WB,2018-07-09,30,,,180,transect_164
AZ_WB,2018-07-09,30,,,22.6,transect_164
AZ_WB,2018-07-09,30,,,8,transect_164
AZ_WB,2018-07-09,45,,,128,transect_165
AZ_WB,2018-07-09,45,,,180+,transect_165
AZ_WB,2018-07-09,45,,,5.6,transect_165
AZ_WB,2018-07-09,45,,,180+,transect_165
AZ_WB,2018-07-09,45,,,4,transect_165
AZ_WB,2018-07-09,45,,,90,transect_165
AZ_WB,2018-07-09,45,,,<2,transect_165
AZ_WB,2018-07-09,45,,,5.6,transect_165
AZ_WB,2018-07-09,45,,,64,transect_165
AZ_WB,2018-07-09,45,,,4,transect_165
AZ_WB,2018-07-09,45,,,90,transect_165
AZ_WB,2018-07-09,45,,,45,transect_165
AZ_WB,2018-07-09,45,,,4,transect_165
AZ_WB,2018-07-09,45,,,64,transect_165
AZ_WB,2018-07-09,45,,,4,transect_165
AZ_WB,2018-07-09,45,,,128,transect_165
AZ_WB,2018-07-09,45,,,5.6,transect_165
AZ_WB,2018-07-09,45,,,4,transect_165
AZ_WB,2018-07-09,45,,,64,transect_165
AZ_WB,2018-07-09,45,,,4,transect_165
AZ_WB,2018-07-09,45,,,180,transect_165
AZ_WB,2018-07-09,45,,,11,transect_165
AZ_WB,2018-07-09,45,,,2.8,transect_165
AZ_WB,2018-07-09,45,,,<2,transect_165
AZ_WB,2018-07-09,45,,,4,transect_165
AZ_WB,2018-07-09,45,,,180+,transect_165
AZ_WB,2018-07-09,45,,,11,transect_165
AZ_WB,2018-07-09,45,,,2.8,transect_165
AZ_WB,2018-07-09,45,,,90,transect_165
AZ_WB,2018-07-09,45,,,5.6,transect_165
AZ_WB,2018-07-09,45,,,128,transect_165
AZ_WB,2018-07-09,45,,,8,transect_165
AZ_WB,2018-07-09,45,,,45,transect_165
AZ_WB,2018-07-09,45,,,90,transect_165
AZ_WB,2018-07-09,45,,,5.6,transect_165
AZ_WB,2018-07-09,45,,,45,transect_165
AZ_WB,2018-07-09,45,,,8,transect_165
AZ_WB,2018-07-09,45,,,16,transect_165
AZ_WB,2018-07-09,45,,,22.6,transect_165
AZ_WB,2018-07-09,45,,,180+,transect_165
AZ_WB,2018-07-09,45,,,180,transect_165
AZ_WB,2018-07-09,45,,,5.6,transect_165
AZ_WB,2018-07-09,45,,,11,transect_165
AZ_WB,2018-07-09,45,,,16,transect_165
AZ_WB,2018-07-09,45,,,8,transect_165
AZ_WB,2018-07-09,45,,,180+,transect_165
AZ_WB,2018-07-09,45,,,5.6,transect_165
AZ_WB,2018-07-09,45,,,180,transect_165
AZ_WB,2018-07-09,45,,,16,transect_165
AZ_WB,2018-07-09,45,,,32,transect_165
AZ_WB,2018-07-09,60,,,180,transect_166
AZ_WB,2018-07-09,60,,,128,transect_166
AZ_WB,2018-07-09,60,,,45,transect_166
AZ_WB,2018-07-09,60,,,180+,transect_166
AZ_WB,2018-07-09,60,,,8,transect_166
AZ_WB,2018-07-09,60,,,180+,transect_166
AZ_WB,2018-07-09,60,,,90,transect_166
AZ_WB,2018-07-09,60,,,64,transect_166
AZ_WB,2018-07-09,60,,,180+,transect_166
AZ_WB,2018-07-09,60,,,16,transect_166
AZ_WB,2018-07-09,60,,,180+,transect_166
AZ_WB,2018-07-09,60,,,90,transect_166
AZ_WB,2018-07-09,60,,,64,transect_166
AZ_WB,2018-07-09,60,,,180,transect_166
AZ_WB,2018-07-09,60,,,8,transect_166
AZ_WB,2018-07-09,60,,,22.6,transect_166
AZ_WB,2018-07-09,60,,,<2,transect_166
AZ_WB,2018-07-09,60,,,45,transect_166
AZ_WB,2018-07-09,60,,,128,transect_166
AZ_WB,2018-07-09,60,,,5.6,transect_166
AZ_WB,2018-07-09,60,,,16,transect_166
AZ_WB,2018-07-09,60,,,90,transect_166
AZ_WB,2018-07-09,60,,,16,transect_166
AZ_WB,2018-07-09,60,,,180,transect_166
AZ_WB,2018-07-09,60,,,5.6,transect_166
AZ_WB,2018-07-09,60,,,128,transect_166
AZ_WB,2018-07-09,60,,,64,transect_166
AZ_WB,2018-07-09,60,,,16,transect_166
AZ_WB,2018-07-09,60,,,180+,transect_166
AZ_WB,2018-07-09,60,,,5.6,transect_166
AZ_WB,2018-07-09,60,,,16,transect_166
AZ_WB,2018-07-09,60,,,32,transect_166
AZ_WB,2018-07-09,60,,,11,transect_166
AZ_WB,2018-07-09,60,,,64,transect_166
AZ_WB,2018-07-09,60,,,4,transect_166
AZ_WB,2018-07-09,60,,,11,transect_166
AZ_WB,2018-07-09,60,,,64,transect_166
AZ_WB,2018-07-09,60,,,22.6,transect_166
AZ_WB,2018-07-09,60,,,64,transect_166
AZ_WB,2018-07-09,60,,,5.6,transect_166
AZ_WB,2018-07-09,60,,,8,transect_166
AZ_WB,2018-07-09,60,,,90,transect_166
AZ_WB,2018-07-09,60,,,11,transect_166
AZ_WB,2018-07-09,60,,,90,transect_166
AZ_WB,2018-07-09,60,,,8,transect_166
AZ_WB,2018-07-09,60,,,8,transect_166
AZ_WB,2018-07-09,60,,,64,transect_166
AZ_WB,2018-07-09,60,,,180+,transect_166
AZ_WB,2018-07-09,60,,,64,transect_166
AZ_WB,2018-07-09,60,,,4,transect_166
AZ_WB,2018-07-09,75,,,180,transect_167
AZ_WB,2018-07-09,75,,,2,transect_167
AZ_WB,2018-07-09,75,,,45,transect_167
AZ_WB,2018-07-09,75,,,16,transect_167
AZ_WB,2018-07-09,75,,,64,transect_167
AZ_WB,2018-07-09,75,,,180+,transect_167
AZ_WB,2018-07-09,75,,,2.8,transect_167
AZ_WB,2018-07-09,75,,,180+,transect_167
AZ_WB,2018-07-09,75,,,22.6,transect_167
AZ_WB,2018-07-09,75,,,32,transect_167
AZ_WB,2018-07-09,75,,,128,transect_167
AZ_WB,2018-07-09,75,,,90,transect_167
AZ_WB,2018-07-09,75,,,180+,transect_167
AZ_WB,2018-07-09,75,,,90,transect_167
AZ_WB,2018-07-09,75,,,45,transect_167
AZ_WB,2018-07-09,75,,,8,transect_167
AZ_WB,2018-07-09,75,,,22.6,transect_167
AZ_WB,2018-07-09,75,,,180+,transect_167
AZ_WB,2018-07-09,75,,,90,transect_167
AZ_WB,2018-07-09,75,,,16,transect_167
AZ_WB,2018-07-09,75,,,11,transect_167
AZ_WB,2018-07-09,75,,,16,transect_167
AZ_WB,2018-07-09,75,,,128,transect_167
AZ_WB,2018-07-09,75,,,128,transect_167
AZ_WB,2018-07-09,75,,,16,transect_167
AZ_WB,2018-07-09,75,,,11,transect_167
AZ_WB,2018-07-09,75,,,128,transect_167
AZ_WB,2018-07-09,75,,,64,transect_167
AZ_WB,2018-07-09,75,,,90,transect_167
AZ_WB,2018-07-09,75,,,11,transect_167
AZ_WB,2018-07-09,75,,,8,transect_167
AZ_WB,2018-07-09,75,,,64,transect_167
AZ_WB,2018-07-09,75,,,64,transect_167
AZ_WB,2018-07-09,75,,,180,transect_167
AZ_WB,2018-07-09,75,,,8,transect_167
AZ_WB,2018-07-09,75,,,4,transect_167
AZ_WB,2018-07-09,75,,,45,transect_167
AZ_WB,2018-07-09,75,,,11,transect_167
AZ_WB,2018-07-09,75,,,180+,transect_167
AZ_WB,2018-07-09,75,,,8,transect_167
AZ_WB,2018-07-09,75,,,4,transect_167
AZ_WB,2018-07-09,75,,,64,transect_167
AZ_WB,2018-07-09,75,,,11,transect_167
AZ_WB,2018-07-09,75,,,180+,transect_167
AZ_WB,2018-07-09,75,,,8,transect_167
AZ_WB,2018-07-09,75,,,4,transect_167
AZ_WB,2018-07-09,75,,,45,transect_167
AZ_WB,2018-07-09,75,,,11,transect_167
AZ_WB,2018-07-09,75,,,64,transect_167
AZ_WB,2018-07-09,75,,,180+,transect_167
AZ_WB,2018-07-09,90,,,180+,transect_168
AZ_WB,2018-07-09,90,,,11,transect_168
AZ_WB,2018-07-09,90,,,64,transect_168
AZ_WB,2018-07-09,90,,,180,transect_168
AZ_WB,2018-07-09,90,,,45,transect_168
AZ_WB,2018-07-09,90,,,180+,transect_168
AZ_WB,2018-07-09,90,,,16,transect_168
AZ_WB,2018-07-09,90,,,90,transect_168
AZ_WB,2018-07-09,90,,,180+,transect_168
AZ_WB,2018-07-09,90,,,45,transect_168
AZ_WB,2018-07-09,90,,,180+,transect_168
AZ_WB,2018-07-09,90,,,16,transect_168
AZ_WB,2018-07-09,90,,,90,transect_168
AZ_WB,2018-07-09,90,,,128,transect_168
AZ_WB,2018-07-09,90,,,22.6,transect_168
AZ_WB,2018-07-09,90,,,180+,transect_168
AZ_WB,2018-07-09,90,,,22.6,transect_168
AZ_WB,2018-07-09,90,,,128,transect_168
AZ_WB,2018-07-09,90,,,180+,transect_168
AZ_WB,2018-07-09,90,,,32,transect_168
AZ_WB,2018-07-09,90,,,180+,transect_168
AZ_WB,2018-07-09,90,,,180,transect_168
AZ_WB,2018-07-09,90,,,180,transect_168
AZ_WB,2018-07-09,90,,,90,transect_168
AZ_WB,2018-07-09,90,,,22.6,transect_168
AZ_WB,2018-07-09,90,,,180+,transect_168
AZ_WB,2018-07-09,90,,,128,transect_168
AZ_WB,2018-07-09,90,,,180+,transect_168
AZ_WB,2018-07-09,90,,,90,transect_168
AZ_WB,2018-07-09,90,,,22.6,transect_168
