e.g. NC_MudCreek,YYYY-MM-DD,Meters upstream of logger array (negative for downstream),Transect latitude in decimal degrees,Transect longitude in decimal degrees,"pool, riffle, or run",The width of the water surface at the time of measurement (meters),"The width of the water surface at baseflow (estimated as the edge of terrestrial vegetation, eroded area, or a break in bank sediment; meters)",The estimated width of the water surface at bankfull (meters),The height of the left bank when facing downstream (meters),The width of the left bank when facing downstream (meters),The height of the right bank when facing downstream (meters),The width of the right bank when facing downstream (meters),The vertical distance from current water level to estimated baseflow (meters),The vertical distance from current water level to estimated bankfull (meters),Any notes about these measurements
siteID,date,transect,latitude,longitude,channel_type,wetted_width_m,baseflow_width_m,bankfull_width_m,left_bank_height_m,left_bank_width_m,right_bank_height_m,right_bank_width_m,water_level_to_baseflow_m,water_level_to_bankfull_m,notes
BEC,8/8/18,0,43.10952,89.64053,,6.45,4.6,7,,,,,0.42,0.12,
BEC,8/8/18,50,43.10925,89.64002,,4.52,6.1,6.15,,,,,0.51,0.08,
BEC,8/8/18,100,43.10896,89.63953,,8.12,5.2,8.24,,,,,0.28,0.12,
BEC,8/8/18,150,43.10863,89.63975,,5.95,9.79,9.93,,,,,0.38,0.1,
BEC,8/8/18,200,43.10824,89.64002,,7.73,,7.85,,,,,,0.1,
BEC,8/8/18,300,43.10762,89.63977,,12.67,6.42,12.78,,,,,0.32,0.11,
BEC,8/8/18,350,43.10716,89.63962,,6.53,6.4,6.62,,,,,0.44,0.08,
BEC,8/8/18,400,43.10675,89.63934,,6.45,6.35,6.7,,,,,0.3,0.09,
BEC,8/8/18,450,43.10635,89.63895,,7.38,,7.42,,,,,,0.05,
BEC,8/8/18,500,43.10609,89.63876,,8.06,6.68,8.12,,,,,0.47,0.08,
BRW,8/13/18,0,43.12556,89.63435,,4.25,5.13,8.5,,,,,0.27,1.74,
BRW,8/13/18,50,43.12581,89.63402,,4.82,5.47,7.89,,,,,0.54,1.63,
BRW,8/13/18,100,43.12611,89.63335,,4.42,5.4,8.67,,,,,0.51,1.44,
BRW,8/13/18,150,43.12632,89.63284,,2.9,4.75,7.9,,,,,0.26,1.33,
BRW,8/13/18,200,43.12633,89.63213,,3.25,4.6,8.1,,,,,0.41,1.5,
BRW,8/13/18,250,43.12685,89.63195,,2.9,4.95,8.97,,,,,0.28,1.37,
BRW,8/13/18,300,43.12707,89.63114,,4.38,5.83,11.03,,,,,0.44,1.51,
BRW,8/13/18,350,43.12677,89.63062,,4.61,5.85,10.69,,,,,0.31,1.9,
BRW,8/13/18,400,43.12653,89.63008,,4.56,5.95,10.91,,,,,0.44,1.96,
BRW,8/13/18,450,43.1262,89.62973,,4.41,5.26,10.46,,,,,0.36,1.6,